types,counts,probs,total_unique
Jade,2673,0.001584506102986376,18029
Katherine,2666,0.0015803566294656487,18029
Isabelle,2640,0.0015649442992458035,18029
Natalia,2617,0.001551310314820556,18029
Raelynn,2599,0.001540640240052971,18029
Maria,2595,0.001538269112326841,18029
Athena,2582,0.0015305629472169185,18029
Ximena,2558,0.0015163361808601384,18029
Arya,2545,0.001508630015750216,18029
Leilani,2505,0.0014849187384889159,18029
Taylor,2478,0.0014689136263375383,18029
Faith,2442,0.0014475734768023684,18029
Rose,2432,0.0014416456574870432,18029
Kylie,2416,0.0014321611465825232,18029
Alexandra,2394,0.0014191199440888082,18029
Mary,2327,0.0013794035546761307,18029
Margaret,2312,0.001370511825703143,18029
Lyla,2288,0.0013562850593463632,18029
Ashley,2267,0.0013438366387841804,18029
Amaya,2256,0.001337316037537323,18029
Eliza,2254,0.001336130473674258,18029
Brianna,2235,0.0013248676169751404,18029
Bailey,2163,0.0012821873179048003,18029
Andrea,2154,0.0012768522805210079,18029
Khloe,2136,0.0012661822057534228,18029
Jasmine,2133,0.0012644038599588254,18029
Melody,2131,0.0012632182960957603,18029
Iris,2109,0.0012501770936020453,18029
Isabel,2052,0.0012163885235046928,18029
Norah,1999,0.0011849710811334701,18029
Annabelle,1977,0.001171929878639755,18029
Valeria,1976,0.0011713370967082228,18029
Emerson,1935,0.00114703303751539,18029
Adalyn,1930,0.0011440691278577276,18029
Ryleigh,1915,0.0011351773988847401,18029
Eden,1894,0.0011227289783225577,18029
Emersyn,1886,0.0011179867228702975,18029
Anastasia,1880,0.0011144300312811025,18029
Kayla,1875,0.00111146612162344,18029
Alyssa,1870,0.0011085022119657775,18029
Juliana,1842,0.0010919043178828675,18029
Charlie,1840,0.0010907187540198024,18029
Esther,1831,0.00108538371663601,18029
Ariel,1810,0.0010729352960738275,18029
Cecilia,1798,0.0010658219128954374,18029
Valerie,1794,0.0010634507851693075,18029
Alina,1791,0.0010616724393747098,18029
Molly,1790,0.0010610796574431773,18029
Reese,1788,0.0010598940935801124,18029
Aliyah,1765,0.0010462601091548649,18029
Lilly,1755,0.0010403322898395399,18029
Parker,1754,0.0010397395079080073,18029
Finley,1749,0.0010367755982503449,18029
Morgan,1749,0.0010367755982503449,18029
Sydney,1749,0.0010367755982503449,18029
Jordyn,1735,0.00102847665120889,18029
Eloise,1733,0.0010272910873458249,18029
Trinity,1707,0.0010118787571259799,18029
Daisy,1702,0.0010089148474683174,18029
Kimberly,1696,0.0010053581558791224,18029
Lauren,1696,0.0010053581558791224,18029
Genevieve,1692,0.0010029870281529922,18029
Sara,1692,0.0010029870281529922,18029
Arabella,1686,9.994303365637972e-4,18029
Harmony,1668,9.887602617962123e-4,18029
Elise,1664,9.863891340700821e-4,18029
Remi,1644,9.745334954394322e-4,18029
Teagan,1644,9.745334954394322e-4,18029
Alexis,1640,9.721623677133022e-4,18029
London,1632,9.674201122610422e-4,18029
Sloane,1623,9.620850748772497e-4,18029
Laila,1608,9.531933459042621e-4,18029
Lucia,1606,9.520077820411971e-4,18029
Diana,1605,9.514150001096646e-4,18029
Juliette,1600,9.484510904520021e-4,18029
Sienna,1587,9.407449253420796e-4,18029
Elliana,1580,9.365954518213522e-4,18029
Londyn,1580,9.365954518213522e-4,18029
Ayla,1575,9.336315421636896e-4,18029
Callie,1574,9.330387602321571e-4,18029
Gracie,1566,9.282965047798971e-4,18029
Josie,1565,9.277037228483646e-4,18029
Amara,1564,9.271109409168321e-4,18029
Jocelyn,1555,9.217759035330396e-4,18029
Daniela,1553,9.205903396699745e-4,18029
Everleigh,1546,9.164408661492471e-4,18029
Mya,1545,9.158480842177145e-4,18029
Rachel,1544,9.152553022861821e-4,18029
Summer,1528,9.057707913816621e-4,18029
Alana,1523,9.028068817239995e-4,18029
Brooke,1518,8.99842972066337e-4,18029
Alaina,1517,8.992501901348046e-4,18029
Mckenzie,1507,8.933223708194795e-4,18029
Catherine,1498,8.87987333435687e-4,18029
Amy,1497,8.873945515041545e-4,18029
Presley,1486,8.80873950257297e-4,18029
Journee,1481,8.779100405996345e-4,18029
Rosalie,1460,8.654616200374519e-4,18029
Ember,1458,8.64276056174387e-4,18029
Brynlee,1455,8.624977103797894e-4,18029
Rowan,1447,8.577554549275294e-4,18029
Joanna,1444,8.559771091329319e-4,18029
Paige,1443,8.553843272013995e-4,18029
Rebecca,1442,8.54791545269867e-4,18029
Ana,1440,8.53605981406802e-4,18029
Sawyer,1421,8.423431247076845e-4,18029
Mariah,1416,8.393792150500219e-4,18029
Nicole,1416,8.393792150500219e-4,18029
Brooklynn,1415,8.387864331184894e-4,18029
Payton,1413,8.376008692554245e-4,18029
Marley,1410,8.358225234608269e-4,18029
Fiona,1408,8.346369595977619e-4,18029
Georgia,1406,8.334513957346969e-4,18029
Lila,1395,8.269307944878394e-4,18029
Harley,1393,8.257452306247744e-4,18029
Adelyn,1375,8.150751558571893e-4,18029
Alivia,1373,8.138895919941243e-4,18029
Noelle,1371,8.127040281310594e-4,18029
Gemma,1369,8.115184642679944e-4,18029
Vanessa,1369,8.115184642679944e-4,18029
Journey,1363,8.079617726787994e-4,18029
Makayla,1362,8.073689907472668e-4,18029
Angelina,1360,8.061834268842018e-4,18029
Adaline,1359,8.055906449526693e-4,18029
Catalina,1358,8.049978630211369e-4,18029
Alayna,1354,8.026267352950068e-4,18029
Julianna,1354,8.026267352950068e-4,18029
Leila,1352,8.014411714319418e-4,18029
Lola,1352,8.014411714319418e-4,18029
Adriana,1347,7.984772617742794e-4,18029
June,1342,7.955133521166168e-4,18029
Juliet,1336,7.919566605274218e-4,18029
Jayla,1334,7.907710966643568e-4,18029
River,1321,7.830649315544343e-4,18029
Tessa,1315,7.795082399652392e-4,18029
Lia,1310,7.765443303075768e-4,18029
Dakota,1307,7.747659845129792e-4,18029
Delaney,1306,7.741732025814468e-4,18029
Selena,1306,7.741732025814468e-4,18029
Blakely,1304,7.729876387183817e-4,18029
Ada,1288,7.635031278138617e-4,18029
Camille,1277,7.569825265670042e-4,18029
Zara,1275,7.557969627039392e-4,18029
Malia,1266,7.504619253201467e-4,18029
Hope,1265,7.498691433886141e-4,18029
Samara,1261,7.474980156624842e-4,18029
Vera,1257,7.451268879363541e-4,18029
Mckenna,1254,7.433485421417567e-4,18029
Briella,1248,7.397918505525617e-4,18029
Izabella,1246,7.386062866894966e-4,18029
Hayden,1243,7.368279408948992e-4,18029
Raegan,1241,7.356423770318341e-4,18029
Michelle,1239,7.344568131687692e-4,18029
Angela,1236,7.326784673741717e-4,18029
Ruth,1234,7.314929035111067e-4,18029
Freya,1231,7.297145577165092e-4,18029
Kamila,1230,7.291217757849766e-4,18029
Vivienne,1226,7.267506480588467e-4,18029
Aspen,1223,7.249723022642492e-4,18029
Olive,1222,7.243795203327166e-4,18029
Kendall,1209,7.166733552227941e-4,18029
Elaina,1205,7.143022274966641e-4,18029
Thea,1194,7.077816262498066e-4,18029
Kali,1193,7.071888443182741e-4,18029
Destiny,1189,7.048177165921441e-4,18029
Amiyah,1186,7.030393707975466e-4,18029
Evangeline,1185,7.024465888660141e-4,18029
Cali,1182,7.006682430714166e-4,18029
Blake,1181,7.000754611398841e-4,18029
