types,counts,probs,total_unique
Lisa,49532,0.030198608956912783,8194
Michelle,33221,0.020254138499507378,8194
Kimberly,31908,0.019453630271282666,8194
Jennifer,26852,0.016371094397783694,8194
Melissa,21727,0.013246490688985786,8194
Mary,21725,0.01324527133144089,8194
Angela,20669,0.01260145054773541,8194
Tammy,20056,0.012227717460224557,8194
Karen,19558,0.011924097431545268,8194
Susan,19503,0.011890565099060607,8194
Laura,18743,0.011427209231999844,8194
Kelly,17139,0.010449284480992655,8194
Amy,17090,0.010419410221142685,8194
Christine,16517,0.010070064284529766,8194
Patricia,15809,0.00963841171363632,8194
Julie,15749,0.009601830987289417,8194
Elizabeth,14886,0.009075678206666472,8194
Tina,14773,0.009006784505379806,8194
Cynthia,14050,0.008565986752899633,8194
Pamela,14029,0.008553183498678216,8194
Dawn,13441,0.008194692380478574,8194
Lori,13126,0.008002643567157337,8194
Stephanie,12954,0.007897778818296217,8194
Donna,12752,0.007774623706261645,8194
Tracy,12746,0.007770965633626955,8194
Sandra,12681,0.00773133651341781,8194
Deborah,12286,0.007490513398300703,8194
Linda,11368,0.006930828285193097,8194
Michele,11216,0.006838157111780945,8194
Teresa,10914,0.006654034122501536,8194
Wendy,10707,0.006527830616604723,8194
Sharon,10339,0.006303468828343722,8194
Rebecca,10227,0.006235184805829504,8194
Brenda,9941,0.00606081667690927,8194
Denise,9877,0.006021797235472574,8194
Barbara,9744,0.00594070995873694,8194
Cheryl,9142,0.005573683337723021,8194
Debra,9094,0.005544418756645499,8194
Nancy,8963,0.005464550837454762,8194
Kathleen,8729,0.005321886004701843,8194
Maria,8379,0.005108498434344912,8194
Rhonda,8267,0.005040214411830695,8194
Robin,8183,0.004989001394945031,8194
Christina,8011,0.004884136646083911,8194
Paula,7638,0.004656726463960668,8194
Jill,7521,0.004585394047584209,8194
Theresa,7303,0.004452484075190464,8194
Andrea,7089,0.004322012817886512,8194
Carol,7077,0.004314696672617131,8194
Jacqueline,6742,0.004110454283846926,8194
Diane,6586,0.00401534439534498,8194
Sherry,6432,0.003921453864387931,8194
Shannon,6400,0.0039019441436695832,8194
Ann,6178,0.003766595456186045,8194
Stacey,6146,0.003747085735467697,8194
Catherine,6130,0.0037373308751085226,8194
Kim,6089,0.0037123340454381397,8194
Gina,6041,0.003683069464360618,8194
Sheila,5732,0.0034946787236740705,8194
Tonya,5664,0.0034532205671475814,8194
Carolyn,5537,0.003375791363046638,8194
Heather,5501,0.0033538429272384966,8194
Margaret,5438,0.003315433164574249,8194
Stacy,5387,0.003284339547179382,8194
Renee,5355,0.003264829826461034,8194
Leslie,5283,0.0032209329548447516,8194
Cindy,5238,0.003193497410084575,8194
Monica,5218,0.003181303834635607,8194
Suzanne,5041,0.0030733906919122454,8194
Dana,5013,0.003056319686283691,8194
Diana,4993,0.003044126110834723,8194
Tracey,4931,0.003006326026942924,8194
Janet,4835,0.0029477968647878806,8194
Beth,4766,0.0029057290294889427,8194
Katherine,4718,0.002876464448411421,8194
Kathy,4677,0.002851467618741038,8194
Valerie,4552,0.002775257772184991,8194
Sarah,4485,0.0027344092944309503,8194
Laurie,4340,0.002646005872425936,8194
Tamara,4309,0.0026271058304800365,8194
Regina,4295,0.0026185703276657593,8194
Victoria,4285,0.002612473539941276,8194
Terri,4266,0.0026008896432647565,8194
Kristin,4134,0.0025204120453015716,8194
Lynn,4102,0.0025009023245832237,8194
Carrie,3978,0.002425302156799625,8194
Connie,3954,0.0024106698662608645,8194
Anne,3914,0.0023862827153629295,8194
Heidi,3908,0.0023826246427282394,8194
Carla,3814,0.0023253148381180925,8194
Melinda,3814,0.0023253148381180925,8194
Rachel,3726,0.0022716631061426356,8194
Yolanda,3696,0.0022533727429691845,8194
Melanie,3643,0.0022210597680294205,8194
Sherri,3642,0.002220450089256972,8194
April,3624,0.0022094758713529015,8194
Jodi,3596,0.002192404865724347,8194
