types,counts,probs,total_unique
Liam,19837,0.011018156046016645,14004
Noah,18267,0.01014612373305369,14004
William,14516,0.008062688570044746,14004
James,13525,0.0075122528871490206,14004
Oliver,13389,0.007436713782331848,14004
Benjamin,13381,0.007432270305577897,14004
Elijah,12886,0.007157330181427156,14004
Lucas,12585,0.006990144368559736,14004
Mason,12435,0.006906829179423148,14004
Logan,12352,0.006860728108100902,14004
Alexander,11989,0.006659105350390359,14004
Ethan,11854,0.00658412168016743,14004
Jacob,11770,0.006537465174250941,14004
Michael,11620,0.006454149985114353,14004
Daniel,11173,0.006205870721487321,14004
Henry,10649,0.005914822994103506,14004
Jackson,10323,0.005733751316379989,14004
Sebastian,10054,0.005584339410528374,14004
Aiden,9979,0.00554268181596008,14004
Matthew,9924,0.005512132913276664,14004
Samuel,9734,0.00540660034037032,14004
David,9697,0.005386049260383294,14004
Joseph,9555,0.005307177548000658,14004
Carter,9312,0.005172206941599385,14004
Owen,9288,0.005158876511337531,14004
Wyatt,9127,0.0050694515416642594,14004
John,9119,0.005065008064910308,14004
Jack,8834,0.004906709205550791,14004
Luke,8577,0.004763962514830104,14004
Jayden,8553,0.004750632084568249,14004
Dylan,8549,0.004748410346191274,14004
Grayson,8538,0.0047423005656545905,14004
Levi,8440,0.004687867975418687,14004
Isaac,8417,0.004675092979751077,14004
Gabriel,8335,0.004629547343023075,14004
Julian,8307,0.004613995174384245,14004
Mateo,8169,0.004537345200378584,14004
Anthony,8003,0.004445143057734093,14004
Jaxon,7701,0.004277401810272429,14004
Lincoln,7368,0.004092442090389204,14004
Joshua,7364,0.004090220352012229,14004
Christopher,7261,0.0040330105888051046,14004
Andrew,7234,0.004018013854760518,14004
Theodore,7020,0.0038991508515923198,14004
Caleb,6929,0.0038486063035161233,14004
Ryan,6905,0.003835275873254269,14004
Asher,6802,0.0037780661100471455,14004
Nathan,6790,0.0037714008949162182,14004
Thomas,6779,0.003765291114379535,14004
Leo,6719,0.0037319650387249,14004
Isaiah,6614,0.003673644406329288,14004
Charles,6604,0.003668090060386849,14004
Josiah,6603,0.0036675346257926053,14004
Hudson,6540,0.003632542246355238,14004
Christian,6509,0.003615323773933677,14004
Hunter,6066,0.00336926624868362,14004
Connor,6058,0.0033648227719296686,14004
Eli,6027,0.0033476042995081072,14004
Ezra,6000,0.003332607565463521,14004
Aaron,5953,0.003306502139534057,14004
Landon,5827,0.003236517380659323,14004
Adrian,5788,0.00321485543148381,14004
Jonathan,5712,0.003172642402321272,14004
Nolan,5607,0.0031143217699256607,14004
Jeremiah,5561,0.00308877177859044,14004
Easton,5429,0.0030154544121502426,14004
Elias,5310,0.0029493576954352165,14004
Colton,5284,0.0029349163959848743,14004
Cameron,5271,0.0029276957462597035,14004
Carson,5227,0.002903256624112971,14004
Robert,5140,0.00285493381441375,14004
Angel,5032,0.0027949468782354067,14004
Maverick,5014,0.0027849490555390158,14004
Nicholas,4801,0.002666641486965061,14004
Dominic,4753,0.002639980626441353,14004
Jaxson,4734,0.0026294273691507184,14004
Greyson,4728,0.0026260947615852548,14004
Adam,4675,0.002596656728090327,14004
Ian,4675,0.002596656728090327,14004
Austin,4651,0.0025833262978284728,14004
Santiago,4647,0.002581104559451497,14004
Jordan,4646,0.002580549124857253,14004
Cooper,4441,0.0024666850330372497,14004
Brayden,4383,0.0024344698265711022,14004
Roman,4364,0.0024239165692804677,14004
Evan,4356,0.0024194730925265165,14004
Ezekiel,4319,0.0023989220125394915,14004
Xavier,4298,0.002387257886060369,14004
Jose,4292,0.0023839252784949054,14004
Jace,4276,0.002375038324987003,14004
Jameson,4221,0.002344489422303587,14004
Leonardo,4205,0.0023356024687956846,14004
Bryson,4194,0.0023294926882590013,14004
Axel,4055,0.0022522872796590966,14004
Everett,4001,0.0022222938115699247,14004
Parker,3978,0.0022095188159023146,14004
Kayden,3972,0.002206186208336851,14004
Miles,3964,0.0022017427315828998,14004
Sawyer,3858,0.002142866664593044,14004
Jason,3847,0.002136756884056361,14004
Declan,3792,0.0021062079813729453,14004
Weston,3760,0.00208843407435714,14004
Micah,3718,0.0020651058213988953,14004
Ayden,3655,0.002030113441961528,14004
Wesley,3609,0.002004563450626308,14004
Luca,3589,0.0019934547587414295,14004
Vincent,3552,0.0019729036787544045,14004
Damian,3540,0.0019662384636234776,14004
