types,counts,probs,total_unique
Darrin,2077,0.001194648297726832,4742
Tim,2072,0.0011917723990804026,4742
Darryl,2066,0.0011883213207046872,4742
Travis,2063,0.0011865957815168295,4742
Greg,2047,0.0011773929058482549,4742
Kirk,2011,0.0011566864355939622,4742
Lance,1994,0.0011469083801961017,4742
Andre,1969,0.0011325288869639542,4742
Duane,1962,0.0011285026288589527,4742
Darin,1956,0.0011250515504832373,4742
Kyle,1944,0.0011181493937318064,4742
Theodore,1888,0.0010859393288917955,4742
Melvin,1798,0.0010341731532560636,4742
Christian,1782,0.001024970277587489,4742
Luis,1780,0.0010238199181289173,4742
Harry,1777,0.0010220943789410596,4742
Alexander,1773,0.001019793660023916,4742
Norman,1766,0.0010157674019189147,4742
Calvin,1758,0.0010111659640846273,4742
Stacy,1740,0.001000812728957481,4742
Brad,1712,9.847076965374755e-4,4742
Shannon,1706,9.8125661816176e-4,4742
Edwin,1686,9.697530235760419e-4,4742
Jerome,1686,9.697530235760419e-4,4742
Glen,1669,9.599749681781814e-4,4742
Nathan,1656,9.524976316974647e-4,4742
Earl,1655,9.519224519681787e-4,4742
Wesley,1644,9.455954749460338e-4,4742
Mitchell,1623,9.335167006310297e-4,4742
Clifford,1608,9.248890046917411e-4,4742
Karl,1603,9.220131060453115e-4,4742
Manuel,1595,9.174116682110242e-4,4742
Ray,1592,9.156861290231665e-4,4742
Corey,1578,9.076336128131637e-4,4742
Fred,1571,9.036073547081624e-4,4742
Warren,1549,8.909534006638724e-4,4742
Marcus,1540,8.857767831002992e-4,4742
Francis,1516,8.719724695974375e-4,4742
Daryl,1513,8.702469304095798e-4,4742
Jim,1503,8.644951331167206e-4,4742
Alfred,1492,8.581681560945756e-4,4742
Maurice,1475,8.483901006967152e-4,4742
Tyrone,1450,8.340106074645675e-4,4742
Lonnie,1444,8.305595290888521e-4,4742
Rick,1430,8.225070128788493e-4,4742
Don,1404,8.075523399174157e-4,4742
Clarence,1381,7.943232061438398e-4,4742
Tom,1360,7.822444318288357e-4,4742
Mario,1355,7.793685331824062e-4,4742
Ricardo,1349,7.759174548066907e-4,4742
Damon,1330,7.649890399502585e-4,4742
Bernard,1308,7.523350859059685e-4,4742
Jody,1299,7.471584683423953e-4,4742
Dan,1271,7.310534359223898e-4,4742
Jesus,1229,7.068958872923817e-4,4742
Jamie,1225,7.04595168375238e-4,4742
Kent,1219,7.011440899995226e-4,4742
Roberto,1212,6.971178318945213e-4,4742
Leon,1197,6.884901359552326e-4,4742
Leroy,1197,6.884901359552326e-4,4742
Franklin,1183,6.804376197452298e-4,4742
Gilbert,1168,6.718099238059412e-4,4742
Alex,1164,6.695092048887976e-4,4742
Bill,1160,6.67208485971654e-4,4742
Guy,1145,6.585807900323653e-4,4742
Vernon,1143,6.574304305737935e-4,4742
Ruben,1140,6.557048913859358e-4,4742
Terrence,1132,6.511034535516486e-4,4742
Byron,1128,6.488027346345049e-4,4742
Clinton,1125,6.470771954466472e-4,4742
Wade,1125,6.470771954466472e-4,4742
Alvin,1112,6.395998589659304e-4,4742
Joey,1111,6.390246792366444e-4,4742
Justin,1109,6.378743197780727e-4,4742
Miguel,1108,6.372991400487867e-4,4742
Gordon,1092,6.280962643802122e-4,4742
Kerry,1085,6.240700062752108e-4,4742
Stacey,1074,6.177430292530658e-4,4742
Gene,1071,6.160174900652081e-4,4742
Herbert,1056,6.073897941259195e-4,4742
Neil,1053,6.056642549380618e-4,4742
Ted,1049,6.033635360209182e-4,4742
Hector,1036,5.958861995402013e-4,4742
Terrance,1022,5.878336833301986e-4,4742
Dana,1021,5.872585036009127e-4,4742
Leslie,1011,5.815067063080536e-4,4742
Marty,1006,5.786308076616241e-4,4742
Lloyd,1003,5.769052684737664e-4,4742
Kelvin,998,5.740293698273368e-4,4742
Roderick,997,5.734541900980508e-4,4742
Francisco,987,5.677023928051918e-4,4742
Timmy,968,5.567739779487595e-4,4742
Lewis,963,5.5389807930233e-4,4742
Adrian,958,5.510221806559005e-4,4742
Geoffrey,947,5.446952036337555e-4,4742
Dwight,943,5.423944847166119e-4,4742
Gregg,943,5.423944847166119e-4,4742
Nathaniel,923,5.308908901308937e-4,4742
Andy,907,5.216880144623191e-4,4742
Oscar,905,5.205376550037473e-4,4742
Jorge,903,5.193872955451755e-4,4742
Perry,891,5.124851387937445e-4,4742
Stuart,891,5.124851387937445e-4,4742
Raul,886,5.096092401473151e-4,4742
Allan,874,5.027070833958841e-4,4742
Donnie,874,5.027070833958841e-4,4742
Shaun,851,4.894779496223082e-4,4742
Ross,845,4.860268712465928e-4,4742
Bret,841,4.8372615232944915e-4,4742
Jimmie,839,4.825757928708773e-4,4742
Angel,832,4.78549534765876e-4,4742
Floyd,829,4.768239955780182e-4,4742
Fredrick,823,4.733729172023028e-4,4742
Ramon,820,4.7164737801444506e-4,4742
Ron,819,4.7107219828515913e-4,4742
Roland,797,4.5841824424086916e-4,4742
Jaime,791,4.549671658651537e-4,4742
Pedro,789,4.5381680640658187e-4,4742
Terence,786,4.5209126721872415e-4,4742
Trevor,785,4.515160874894383e-4,4742
Matt,782,4.4979054830158056e-4,4742
Rafael,769,4.423132118208637e-4,4742
Rickey,769,4.423132118208637e-4,4742
Nelson,764,4.394373131744342e-4,4742
Dexter,761,4.3771177398657646e-4,4742
Brandon,760,4.3713659425729054e-4,4742
Clayton,757,4.354110550694328e-4,4742
Kenny,752,4.325351564230033e-4,4742
Lester,747,4.2965925777657373e-4,4742
Charlie,739,4.250578199422865e-4,4742
Javier,739,4.250578199422865e-4,4742
Johnnie,738,4.2448264021300057e-4,4742
Gabriel,734,4.221819212958569e-4,4742
Joshua,730,4.198812023787133e-4,4742
Jackie,721,4.147045848151401e-4,4742
Freddie,720,4.141294050858542e-4,4742
Ian,717,4.1240386589799647e-4,4742
Cory,716,4.1182868616871054e-4,4742
Jessie,716,4.1182868616871054e-4,4742
Rene,709,4.0780242806370923e-4,4742
Marshall,707,4.066520686051374e-4,4742
Leo,693,3.9859955239513465e-4,4742
Cedric,690,3.9687401320727693e-4,4742
Clifton,684,3.934229348315615e-4,4742
Milton,680,3.9112221591441784e-4,4742
Bryant,678,3.8997185645584605e-4,4742
Dave,667,3.8364487943370103e-4,4742
Nick,666,3.8306969970441516e-4,4742
Cary,663,3.813441605165574e-4,4742
Herman,662,3.807689807872715e-4,4742
Arnold,660,3.7961862132869967e-4,4742
Trent,660,3.7961862132869967e-4,4742
Robbie,652,3.7501718349441243e-4,4742
Neal,651,3.744420037651265e-4,4742
Orlando,650,3.738668240358406e-4,4742
Fernando,648,3.727164645772688e-4,4742
Armando,643,3.698405659308392e-4,4742
Ivan,642,3.6926538620155334e-4,4742
Alberto,640,3.681150267429815e-4,4742
Jeremy,640,3.681150267429815e-4,4742
Noel,639,3.675398470136956e-4,4742
Harvey,631,3.6293840917940833e-4,4742
Ben,630,3.623632294501224e-4,4742
Clyde,627,3.606376902622647e-4,4742
Mathew,619,3.5603625242797745e-4,4742
Wendell,614,3.531603537815479e-4,4742
Randolph,603,3.4683337675940287e-4,4742
Carlton,602,3.46258197030117e-4,4742
Ken,602,3.46258197030117e-4,4742
Frankie,599,3.445326578422593e-4,4742
Edgar,596,3.4280711865440156e-4,4742
Eduardo,595,3.4223193892511563e-4,4742
Robin,595,3.4223193892511563e-4,4742
Randal,591,3.39931220007972e-4,4742
Gerard,585,3.3648014163225655e-4,4742
Scotty,584,3.359049619029706e-4,4742
Doug,581,3.341794227151129e-4,4742
Bart,574,3.3015316461011153e-4,4742
Grant,573,3.2957798488082566e-4,4742
Sidney,573,3.2957798488082566e-4,4742
Loren,570,3.278524456929679e-4,4742
Felix,569,3.27277265963682e-4,4742
Sam,566,3.255517267758243e-4,4742
Cecil,563,3.238261875879666e-4,4742
Scot,555,3.192247497536793e-4,4742
Toby,554,3.1864957002439336e-4,4742
Jacob,553,3.180743902951075e-4,4742
Casey,552,3.1749921056582156e-4,4742
Heath,548,3.151984916486779e-4,4742
Dominic,545,3.134729524608202e-4,4742
Spencer,540,3.1059705381439063e-4,4742
Curt,537,3.088715146265329e-4,4742
Bradford,535,3.077211551679611e-4,4742
Salvatore,533,3.065707957093893e-4,4742
Claude,530,3.0484525652153154e-4,4742
Seth,525,3.01969357875102e-4,4742
Dewayne,524,3.013941781458161e-4,4742
Clint,523,3.0081899841653023e-4,4742
Jared,520,2.9909345922867245e-4,4742
Angelo,518,2.9794309977010066e-4,4742
Rudy,517,2.9736792004081473e-4,4742
Rex,513,2.9506720112367114e-4,4742
Sammy,512,2.944920213943852e-4,4742
Lorenzo,511,2.939168416650993e-4,4742
Daren,504,2.898905835600979e-4,4742
Arturo,501,2.881650443722402e-4,4742
Chester,501,2.881650443722402e-4,4742
Colin,501,2.881650443722402e-4,4742
Otis,499,2.870146849136684e-4,4742
Preston,498,2.864395051843825e-4,4742
Brendan,497,2.8586432545509656e-4,4742
Everett,497,2.8586432545509656e-4,4742
Hugh,495,2.8471396599652476e-4,4742
Alfredo,494,2.8413878626723884e-4,4742
Darrel,486,2.795373484329516e-4,4742
Marco,483,2.778118092450939e-4,4742
Bob,477,2.743607308693784e-4,4742
Julian,473,2.720600119522348e-4,4742
Erick,472,2.7148483222294887e-4,4742
Mickey,471,2.7090965249366295e-4,4742
Teddy,470,2.703344727643771e-4,4742
Julio,466,2.6803375384723343e-4,4742
Wallace,466,2.6803375384723343e-4,4742
Dion,465,2.674585741179475e-4,4742
Lynn,456,2.6228195655437434e-4,4742
Ty,456,2.6228195655437434e-4,4742
Enrique,455,2.617067768250884e-4,4742
Evan,452,2.599812376372307e-4,4742
Tracey,451,2.5940605790794477e-4,4742
Monte,450,2.588308781786589e-4,4742
Dustin,448,2.5768051872008705e-4,4742
Myron,446,2.5653015926151526e-4,4742
Sergio,445,2.5595497953222933e-4,4742
Virgil,441,2.536542606150857e-4,4742
Tyler,436,2.5077836196865617e-4,4742
Lyle,435,2.5020318223937024e-4,4742
Morris,430,2.4732728359294073e-4,4742
Isaac,427,2.4560174440508295e-4,4742
Cameron,426,2.450265646757971e-4,4742
Clark,426,2.450265646757971e-4,4742
Lamont,423,2.4330102548793934e-4,4742
Garry,422,2.4272584575865344e-4,4742
Malcolm,422,2.4272584575865344e-4,4742
Alejandro,421,2.4215066602936754e-4,4742
Max,414,2.3812440792436617e-4,4742
Kendall,410,2.3582368900722253e-4,4742
Kim,409,2.3524850927793663e-4,4742
